k_neighbors,moran_i_price,moran_i_log_price,mean_neighbor_distance_km
4,0.2952102944334232,0.3190501223477243,0.09546920692707092
8,0.27658941784400176,0.29605708706583705,0.13058170557419993
12,0.2642738277058501,0.28523589603660415,0.15830412370964683
20,0.24804761973485942,0.2706994701155413,0.20298865428077403
